,Adj Close,Close,High,Low,Open,Volume,MA_10,MA_20,MA_50,RSI,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Middle,BB_Lower,ATR,Volume_MA,Daily_Return,Log_Return,Price_Range,Close_Above_MA,Target
count,1579.0,1579.0,1579.0,1579.0,1579.0,1579.0,1579.0,1579.0,1579.0,1579.0,1579.0,1579.0,1579.0,1579.0,1579.0,1579.0,1579.0,1579.0,1579.0,1579.0,1579.0,1579.0,1579.0
mean,175.6672,177.9168,179.7548,175.9444,177.7769,79046494.3002,177.2828,176.5697,174.4783,54.2086,0.9787,0.9707,0.008,186.7817,176.5697,166.3578,4.1499,79690943.8189,0.0011,0.0009,3.8104,0.5978,178.0508
std,53.763,52.9008,53.3126,52.5255,52.8974,46349080.9452,52.7103,52.4497,51.516,12.2956,3.2404,3.0328,1.0291,54.5874,52.4497,50.6557,1.3601,40877865.6159,0.0192,0.0192,2.2131,0.4905,52.8941
min,54.1637,56.0925,57.125,53.1525,57.02,17910600.0,60.9678,62.3654,67.5064,17.8901,-10.6409,-8.3474,-4.339,68.2891,62.3654,54.1805,1.7366,31463200.0,-0.1286,-0.1377,0.75,0.0,56.0925
25%,138.87,142.04,143.505,139.835,141.98,48510700.0,142.053,142.2508,140.9184,44.6689,-1.3537,-1.2114,-0.613,150.5324,142.2508,131.1328,3.1039,52161705.0,-0.0081,-0.0082,2.42,0.0,142.11
50%,169.1881,172.19,173.63,170.52,171.78,66062900.0,172.056,171.1675,169.8934,54.4309,1.1228,1.0557,0.0427,180.6617,171.1675,162.466,4.0168,68435800.0,0.0011,0.0011,3.33,1.0,172.19
75%,215.9998,217.715,219.855,215.005,216.985,93472000.0,216.532,218.2725,213.5706,63.8425,3.1106,3.0707,0.6864,231.4747,218.2725,202.7174,4.9185,93433020.0,0.0109,0.0109,4.675,1.0,217.93
max,315.2,315.2,317.4,309.65,314.18,401693200.0,310.291,304.6645,291.1508,81.8868,10.4244,9.8065,3.3104,318.9993,304.6645,291.9285,11.603,333735560.0,0.1533,0.1426,28.72,1.0,315.2
