Date,Adj Close,Close,High,Low,Open,Volume,MA_10,MA_20,MA_50,RSI,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Middle,BB_Lower,ATR,Volume_MA,Daily_Return,Log_Return,Price_Range,Close_Above_MA,Target
2020-03-13,67.1029281616211,69.49250030517578,69.9800033569336,63.23749923706055,66.22250366210938,370732000,70.64900016784668,73.15837421417237,76.45169975280761,45.20879568118975,-2.7609965925066007,-2.1254624302577745,-0.6355341622488262,83.20250861671127,73.15837421417237,63.11423981163346,3.9880882329989396,291064040.0,0.11980826654731591,0.11315748006946919,6.742504119873047,0,60.5525016784668
2020-03-16,58.470340728759766,60.5525016784668,64.7699966430664,60.0,60.48749923706055,322423600,69.23400039672852,72.1241241455078,76.16099975585938,36.82638949187659,-3.3396462774677076,-2.368299199699761,-0.9713470777679465,82.86344828627966,72.1241241455078,61.38480000473596,4.381260523868714,289166680.0,-0.12864695596573805,-0.137708052412532,4.769996643066406,0,63.21500015258789
2020-03-17,61.04129409790039,63.21500015258789,64.40249633789062,59.599998474121094,61.877498626708984,324056000,68.32250022888184,71.29737415313721,75.93814979553223,40.37232042009911,-3.5425526050433263,-2.6031498807684743,-0.9394027242748519,82.10675537296865,71.29737415313721,60.487992933305776,4.411348905290201,289624720.0,0.04397008216537346,0.04303083212011041,4.802497863769531,0,61.66749954223633
2020-03-18,59.54700469970703,61.66749954223633,62.5,59.279998779296875,59.942501068115234,300233600,66.92075042724609,70.33549919128419,75.67249984741211,39.00204430021745,-3.7846011712910865,-2.839440138872997,-0.9451610324180897,80.97634104705772,70.33549919128419,59.694657335510655,4.377324081575973,297730240.0,-0.024479958975183402,-0.02478457476832596,3.220001220703125,0,61.19499969482422
2020-03-19,59.090755462646484,61.19499969482422,63.209999084472656,60.65250015258789,61.84749984741211,271857200,65.71725006103516,69.39149932861328,75.4044497680664,38.5715700072141,-3.96880329881391,-3.0653127708611794,-0.9034905279527305,79.75495219597799,69.39149932861328,59.028046461248564,4.2473365708837445,306158680.0,-0.007662056203340817,-0.0076915605619655705,2.5574989318847656,0,57.310001373291016
2020-03-20,55.33934020996094,57.310001373291016,62.95750045776367,57.0,61.79499816894531,401693200,64.22250022888184,68.34387454986572,75.0346997833252,35.13753305846595,-4.377807073390684,-3.3278116313670805,-1.049995442023604,79.13575499033136,68.34387454986572,57.55199410940007,4.369491134232311,323710320.0,-0.06348555177559367,-0.06559032932121368,5.957500457763672,0,56.092498779296875
2020-03-23,54.16371536254883,56.092498779296875,57.125,53.15250015258789,57.02000045776367,336752800,63.177499771118164,67.4212495803833,74.60839973449707,34.11255254752233,-4.745484800874692,-3.6113462652686033,-1.134138535606089,79.0568927053064,67.4212495803833,55.78560645546021,4.3543489975516545,328711120.0,-0.02124415572883842,-0.02147306053667657,3.9724998474121094,0,61.720001220703125
2020-03-24,59.597694396972656,61.720001220703125,61.92250061035156,58.57500076293945,59.09000015258789,287531200,62.21599998474121,66.90624980926513,74.2911498260498,42.46656511127042,-4.530554223938026,-3.795187857002488,-0.7353663669355379,78.5937834899014,66.90624980926513,55.21871612862888,4.4597527713733,328935240.0,0.10032540114763622,0.09560595528356876,3.3474998474121094,0,61.380001068115234
2020-03-25,59.26939010620117,61.380001068115234,64.5625,61.07500076293945,62.6875,303602000,61.4682502746582,66.31712493896484,73.93394989013672,42.11909331597693,-4.337653593508186,-3.903681004303628,-0.4339725892045583,77.87090902225509,66.31712493896484,54.763340855674585,4.39030609035096,333735560.0,-0.0055087515531973,-0.005523980679768436,3.487499237060547,0,64.61000061035156
2020-03-26,62.38832473754883,64.61000061035156,64.66999816894531,61.59000015258789,61.630001068115234,252087200,61.723500442504886,66.12862510681153,73.66274993896485,46.590070564116154,-3.879424890018555,-3.8988297814466133,0.019404891428058235,77.66463672928856,66.12862510681153,54.5926134843345,4.311712591099469,317096880.0,0.052622995862315225,0.05128514042350652,3.079998016357422,0,61.935001373291016
2020-03-27,59.80531311035156,61.935001373291016,63.967498779296875,61.76250076293945,63.1875,204216800,60.967750549316406,65.80837535858154,73.34474998474121,43.587229899210556,-3.689594079813361,-3.856982641119963,0.16738856130660196,77.43629813129981,65.80837535858154,54.18045258586328,4.207125966550372,300445360.0,-0.04140224751262378,-0.04228373683751426,2.204998016357422,0,63.70249938964844
2020-03-30,61.512027740478516,63.70249938964844,63.880001068115234,62.349998474121094,62.685001373291016,167976400,61.28275032043457,65.25837535858155,73.0426000213623,46.06101323846372,-3.357822588121927,-3.757150630520356,0.39932804239842934,76.17004078012035,65.25837535858155,54.34670993704274,4.0455455185699325,285000640.0,0.028537950709074167,0.028138328515267774,1.5300025939941406,0,63.5724983215332
